,,,,
0,01:11:58:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:14:23:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:14:53:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:15:20:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:15:58:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:16:10:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:18:47:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:20:08:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

1,01:20:58:PM,01-Jun-2018,KA 22 A 2525,DEPARTURE

0,01:26:11:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:30:56:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:32:20:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:34:50:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

1,01:35:20:PM,01-Jun-2018,KA 22 A 2525,DEPARTURE

